gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,Label
0.008750,-3.745000,1.531250,0.073810,-0.319274,0.979111,Sitting_221805077
0.376250,-3.998750,1.601250,0.072346,-0.319213,0.978806,Sitting_221805077
0.603750,-3.710000,1.741250,0.071980,-0.317993,0.978928,Sitting_221805077
0.752500,-3.815000,1.715000,0.073017,-0.319152,0.980026,Sitting_221805077
0.665000,-3.727500,1.785000,0.072773,-0.316346,0.982466,Sitting_221805077
0.586250,-3.631250,1.811250,0.070760,-0.317444,0.982344,Sitting_221805077
0.262500,-3.640000,1.610000,0.070882,-0.316651,0.984479,Sitting_221805077
-0.140000,-3.517500,1.575000,0.069845,-0.318420,0.984174,Sitting_221805077
-0.568750,-3.412500,1.391250,0.071004,-0.316651,0.984052,Sitting_221805077
-0.735000,-3.543750,1.216250,0.070577,-0.316529,0.983503,Sitting_221805077
-0.910000,-3.578750,1.251250,0.071736,-0.316163,0.981612,Sitting_221805077
-1.015000,-3.438750,1.260000,0.070150,-0.316712,0.980087,Sitting_221805077
-0.892500,-3.386250,1.356250,0.071126,-0.317566,0.979965,Sitting_221805077
-0.778750,-3.517500,1.251250,0.067954,-0.316346,0.981734,Sitting_221805077
-0.752500,-3.342500,1.295000,0.070394,-0.317383,0.981124,Sitting_221805077
-0.621250,-3.578750,1.198750,0.071187,-0.318420,0.982100,Sitting_221805077
-0.210000,-3.342500,1.347500,0.070333,-0.319091,0.982283,Sitting_221805077
-0.288750,-3.246250,1.321250,0.071370,-0.319335,0.982222,Sitting_221805077
-0.026250,-3.517500,1.400000,0.072712,-0.318908,0.982466,Sitting_221805077
0.070000,-3.106250,1.478750,0.071492,-0.320555,0.983869,Sitting_221805077
0.175000,-3.211250,1.365000,0.072834,-0.319091,0.983991,Sitting_221805077
0.271250,-3.351250,1.400000,0.072041,-0.318054,0.984906,Sitting_221805077
0.157500,-3.316250,1.338750,0.071736,-0.316773,0.983686,Sitting_221805077
0.210000,-3.535000,1.268750,0.073993,-0.317749,0.982588,Sitting_221805077
0.262500,-3.753750,1.347500,0.072712,-0.316773,0.983564,Sitting_221805077
0.218750,-3.762500,1.242500,0.074054,-0.314699,0.983198,Sitting_221805077
0.227500,-3.578750,1.356250,0.073810,-0.317139,0.983259,Sitting_221805077
0.166250,-3.482500,1.645000,0.073932,-0.317688,0.984235,Sitting_221805077
0.166250,-3.150000,1.697500,0.070760,-0.316468,0.984784,Sitting_221805077
0.113750,-3.132500,1.741250,0.070760,-0.316834,0.986370,Sitting_221805077
0.288750,-3.246250,1.776250,0.068747,-0.318298,0.984357,Sitting_221805077
0.192500,-2.975000,1.750000,0.068503,-0.316590,0.983381,Sitting_221805077
0.271250,-3.360000,1.723750,0.068015,-0.319213,0.983747,Sitting_221805077
0.323750,-2.992500,1.855000,0.066917,-0.317688,0.983686,Sitting_221805077
0.192500,-3.185000,1.785000,0.068381,-0.319518,0.981978,Sitting_221805077
0.043750,-3.587500,1.671250,0.068564,-0.320067,0.980758,Sitting_221805077
0.017500,-3.578750,1.522500,0.068503,-0.318664,0.981368,Sitting_221805077
0.087500,-3.421250,1.610000,0.073322,-0.320006,0.980148,Sitting_221805077
0.315000,-3.841250,1.478750,0.071492,-0.317688,0.979111,Sitting_221805077
0.402500,-3.683750,1.671250,0.071492,-0.319396,0.978867,Sitting_221805077
0.542500,-3.736250,1.855000,0.070638,-0.318481,0.980697,Sitting_221805077
0.463750,-3.753750,1.802500,0.070089,-0.318664,0.979111,Sitting_221805077
0.700000,-3.552500,1.881250,0.069967,-0.317505,0.976915,Sitting_221805077
0.831250,-3.482500,1.776250,0.068198,-0.316285,0.977098,Sitting_221805077
0.735000,-3.500000,1.793750,0.068137,-0.315980,0.978196,Sitting_221805077
0.673750,-3.683750,1.767500,0.067771,-0.315248,0.979904,Sitting_221805077
0.691250,-3.587500,1.636250,0.067527,-0.318359,0.982039,Sitting_221805077
0.577500,-3.928750,1.461250,0.067222,-0.316346,0.981612,Sitting_221805077
0.472500,-3.806250,1.321250,0.067100,-0.317078,0.983442,Sitting_221805077
0.350000,-3.727500,1.286250,0.068686,-0.318054,0.986858,Sitting_221805077
0.131250,-4.130000,1.172500,0.069052,-0.320738,0.986919,Sitting_221805077
0.113750,-3.718750,1.128750,0.070699,-0.319030,0.985577,Sitting_221805077
0.183750,-3.867500,1.032500,0.073200,-0.321226,0.986065,Sitting_221805077
0.183750,-4.068750,1.032500,0.072224,-0.318725,0.986065,Sitting_221805077
0.271250,-3.850000,1.198750,0.075762,-0.320433,0.985272,Sitting_221805077
0.446250,-4.007500,1.277500,0.074847,-0.320616,0.982466,Sitting_221805077
0.481250,-3.998750,1.391250,0.076250,-0.319762,0.985089,Sitting_221805077
0.691250,-3.937500,1.443750,0.076067,-0.315858,0.984113,Sitting_221805077
0.787500,-3.771250,1.662500,0.075091,-0.316285,0.984540,Sitting_221805077
0.551250,-3.701250,1.732500,0.071675,-0.316102,0.982832,Sitting_221805077
0.385000,-3.473750,1.933750,0.073871,-0.313174,0.982344,Sitting_221805077
0.402500,-3.508750,1.583750,0.069418,-0.314333,0.982832,Sitting_221805077
0.288750,-3.605000,1.610000,0.068564,-0.313723,0.983686,Sitting_221805077
-0.105000,-3.543750,1.487500,0.069113,-0.312991,0.981307,Sitting_221805077
-0.148750,-3.657500,1.435000,0.067771,-0.314577,0.983564,Sitting_221805077
-0.061250,-3.368750,1.435000,0.068686,-0.316041,0.987285,Sitting_221805077
-0.122500,-3.447500,1.356250,0.070333,-0.312198,0.986797,Sitting_221805077
-0.332500,-3.491250,1.295000,0.071248,-0.315187,0.986004,Sitting_221805077
-0.621250,-3.535000,1.146250,0.071675,-0.314577,0.987224,Sitting_221805077
-0.682500,-3.517500,1.067500,0.072590,-0.314760,0.985943,Sitting_221805077
-0.840000,-3.893750,1.093750,0.073505,-0.313540,0.985821,Sitting_221805077
-0.901250,-3.736250,1.050000,0.075884,-0.317749,0.981551,Sitting_221805077
-0.490000,-3.823750,1.120000,0.075579,-0.316407,0.980575,Sitting_221805077
-0.341250,-3.552500,1.400000,0.075945,-0.317200,0.981429,Sitting_221805077
0.008750,-3.570000,1.618750,0.074969,-0.317078,0.980819,Sitting_221805077
0.183750,-3.272500,1.785000,0.072773,-0.317444,0.980026,Sitting_221805077
0.428750,-3.211250,1.723750,0.072834,-0.316407,0.980880,Sitting_221805077
0.525000,-3.342500,1.513750,0.070211,-0.316346,0.982954,Sitting_221805077
0.358750,-2.861250,1.496250,0.069723,-0.315004,0.984601,Sitting_221805077
0.008750,-2.931250,1.417500,0.070394,-0.314211,0.982527,Sitting_221805077
-0.253750,-2.765000,1.321250,0.067405,-0.314943,0.983076,Sitting_221805077
-0.192500,-2.896250,1.286250,0.066795,-0.317200,0.984113,Sitting_221805077
-0.280000,-2.870000,1.251250,0.066673,-0.315858,0.985882,Sitting_221805077
-0.262500,-2.913750,1.321250,0.066612,-0.318603,0.986797,Sitting_221805077
-0.078750,-3.036250,1.286250,0.068808,-0.317871,0.988078,Sitting_221805077
-0.061250,-3.237500,1.067500,0.069418,-0.319457,0.986370,Sitting_221805077
-0.280000,-3.316250,1.015000,0.070150,-0.319457,0.970388,Sitting_221805077
-0.140000,-3.876250,0.857500,0.071309,-0.319152,0.982649,Sitting_221805077
-0.192500,-4.077500,0.813750,0.072834,-0.318542,0.978623,Sitting_221805077
-0.061250,-4.200000,0.918750,0.074054,-0.317261,0.978989,Sitting_221805077
0.210000,-3.920000,1.058750,0.074725,-0.318481,0.977159,Sitting_221805077
0.490000,-3.850000,1.181250,0.074298,-0.316651,0.976610,Sitting_221805077
0.603750,-3.578750,1.400000,0.073749,-0.317627,0.979355,Sitting_221805077
0.691250,-3.220000,1.592500,0.072468,-0.317078,0.979782,Sitting_221805077
0.770000,-3.298750,1.680000,0.072285,-0.319213,0.980209,Sitting_221805077
0.761250,-3.088750,1.855000,0.069479,-0.316651,0.982710,Sitting_221805077
0.612500,-3.036250,1.846250,0.068991,-0.317566,0.983320,Sitting_221805077
0.525000,-3.001250,1.645000,0.068076,-0.316956,0.986248,Sitting_221805077
0.568750,-3.106250,1.732500,0.067344,-0.317871,0.987895,Sitting_221805077
0.306250,-3.351250,1.487500,0.067832,-0.316773,0.988322,Sitting_221805077
0.192500,-3.570000,1.408750,0.069052,-0.316956,0.985943,Sitting_221805077
0.122500,-3.456250,1.373750,0.069845,-0.316346,0.985699,Sitting_221805077
0.192500,-3.526250,1.400000,0.073505,-0.318603,0.984296,Sitting_221805077
0.455000,-3.788750,1.636250,0.071248,-0.316895,0.984113,Sitting_221805077
0.595000,-3.622500,1.575000,0.072651,-0.316773,0.980331,Sitting_221805077
0.647500,-3.526250,1.601250,0.072895,-0.314577,0.981246,Sitting_221805077
0.735000,-3.745000,1.443750,0.073871,-0.315980,0.982039,Sitting_221805077
0.682500,-3.386250,1.470000,0.073505,-0.314272,0.980209,Sitting_221805077
0.656250,-3.543750,1.645000,0.074115,-0.313296,0.979599,Sitting_221805077
0.577500,-3.281250,1.627500,0.073444,-0.313601,0.976854,Sitting_221805077
0.630000,-2.966250,1.793750,0.070699,-0.314150,0.979843,Sitting_221805077
0.358750,-3.211250,1.636250,0.073383,-0.313296,0.979599,Sitting_221805077
0.315000,-3.071250,1.645000,0.071736,-0.314882,0.982039,Sitting_221805077
0.253750,-2.966250,1.636250,0.069052,-0.314455,0.982222,Sitting_221805077
0.245000,-3.132500,1.601250,0.066917,-0.314516,0.982710,Sitting_221805077
-0.008750,-3.150000,1.566250,0.068381,-0.315187,0.985272,Sitting_221805077
-0.113750,-3.158750,1.417500,0.066612,-0.316285,0.983991,Sitting_221805077
-0.140000,-3.281250,1.277500,0.066368,-0.315980,0.985638,Sitting_221805077
-0.183750,-3.045000,1.198750,0.068137,-0.316895,0.986492,Sitting_221805077
-0.140000,-3.167500,1.102500,0.067832,-0.316102,0.986736,Sitting_221805077
-0.122500,-3.517500,1.023750,0.070821,-0.315919,0.987834,Sitting_221805077
-0.166250,-3.552500,0.910000,0.071370,-0.317200,0.987773,Sitting_221805077
-0.078750,-3.596250,1.015000,0.071919,-0.317383,0.985699,Sitting_221805077
0.017500,-3.753750,1.067500,0.071431,-0.316590,0.986858,Sitting_221805077
0.061250,-3.491250,1.163750,0.072712,-0.316346,0.985089,Sitting_221805077
0.078750,-3.587500,1.128750,0.072407,-0.315370,0.983564,Sitting_221805077
0.052500,-3.517500,1.408750,0.070943,-0.315431,0.982832,Sitting_221805077
