gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,Label
21.883751,-7.026250,-54.573750,-0.667340,0.481595,0.755119,Lateral_Raise_211805021
22.680000,-7.717500,-57.330002,-0.592676,0.499102,0.771894,Lateral_Raise_211805021
22.828751,-7.761250,-58.047501,-0.517463,0.508984,0.799527,Lateral_Raise_211805021
22.504999,-6.685000,-56.988750,-0.446337,0.516426,0.832040,Lateral_Raise_211805021
21.726250,-5.941250,-54.311249,-0.381982,0.536007,0.872483,Lateral_Raise_211805021
20.011250,-5.495000,-49.586250,-0.322934,0.559614,0.906704,Lateral_Raise_211805021
16.458750,-5.643750,-43.924999,-0.269559,0.554185,0.925736,Lateral_Raise_211805021
13.396250,-6.965000,-37.695000,-0.220576,0.547048,0.931897,Lateral_Raise_211805021
9.992500,-8.461250,-30.975000,-0.172569,0.555527,0.931958,Lateral_Raise_211805021
6.658750,-10.088750,-24.377501,-0.153659,0.563884,0.920002,Lateral_Raise_211805021
4.182500,-11.760000,-17.491249,-0.141093,0.578524,0.908168,Lateral_Raise_211805021
2.677500,-13.518750,-7.910000,-0.135542,0.586820,0.890722,Lateral_Raise_211805021
2.038750,-15.426250,-2.266250,-0.139873,0.589870,0.879864,Lateral_Raise_211805021
1.837500,-17.447500,2.546250,-0.165066,0.580293,0.868762,Lateral_Raise_211805021
2.353750,-19.293751,5.355000,-0.199470,0.557723,0.865773,Lateral_Raise_211805021
2.590000,-19.311251,6.641250,-0.230092,0.530517,0.869921,Lateral_Raise_211805021
2.231250,-18.261250,6.457500,-0.259067,0.493856,0.874679,Lateral_Raise_211805021
1.373750,-16.546249,5.565000,-0.285053,0.468785,0.888099,Lateral_Raise_211805021
0.516250,-14.000000,3.640000,-0.298107,0.443531,0.898530,Lateral_Raise_211805021
-0.910000,-11.611250,1.715000,-0.303231,0.426451,0.904874,Lateral_Raise_211805021
-2.730000,-9.353750,-0.131250,-0.299510,0.412787,0.912804,Lateral_Raise_211805021
-4.270000,-7.227500,-2.065000,-0.288957,0.403820,0.919514,Lateral_Raise_211805021
-5.705000,-5.722500,-5.416250,-0.270230,0.405650,0.923357,Lateral_Raise_211805021
-7.061250,-5.127500,-7.568750,-0.247111,0.411872,0.923235,Lateral_Raise_211805021
-7.665000,-5.547500,-9.082500,-0.223687,0.421876,0.923479,Lateral_Raise_211805021
-7.542500,-6.825000,-10.508750,-0.197701,0.432978,0.925736,Lateral_Raise_211805021
-6.728750,-8.592500,-10.815000,-0.176961,0.443775,0.924943,Lateral_Raise_211805021
-5.381250,-10.753750,-10.526250,-0.159820,0.460428,0.917989,Lateral_Raise_211805021
-4.803750,-12.862500,-9.388750,-0.146766,0.464576,0.906948,Lateral_Raise_211805021
-4.646250,-14.726250,-7.367500,-0.144509,0.467382,0.897920,Lateral_Raise_211805021
-4.978750,-16.415001,-4.926250,-0.157441,0.471713,0.881450,Lateral_Raise_211805021
-5.258750,-17.500000,-1.881250,-0.173423,0.478362,0.868701,Lateral_Raise_211805021
-5.696250,-18.401251,3.430000,-0.199165,0.481107,0.851438,Lateral_Raise_211805021
-5.923750,-18.593750,6.186250,-0.230763,0.481961,0.828136,Lateral_Raise_211805021
