gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,Label
10.123750,-5.880000,-39.873749,-0.830271,-0.134505,0.237107,Walking_211805014
9.502500,-7.017500,-41.308750,-0.807396,-0.123952,0.240584,Walking_211805014
7.402500,-6.938750,-42.551250,-0.766465,-0.114436,0.243817,Walking_211805014
3.762500,-6.947500,-43.785000,-0.750788,-0.103944,0.251076,Walking_211805014
-1.338750,-5.722500,-44.773750,-0.733159,-0.097661,0.257786,Walking_211805014
-7.157500,-5.145000,-45.613750,-0.715469,-0.089731,0.263886,Walking_211805014
-14.358750,-4.042500,-46.689999,-0.696803,-0.081008,0.269010,Walking_211805014
-21.840000,-2.870000,-47.171249,-0.678869,-0.076555,0.270718,Walking_211805014
-29.469999,-1.881250,-47.923752,-0.666974,-0.068625,0.270108,Walking_211805014
-37.099998,-1.111250,-48.413750,-0.655811,-0.061976,0.267851,Walking_211805014
-44.134998,-1.146250,-48.737499,-0.640561,-0.053070,0.265350,Walking_211805014
-52.981251,-1.365000,-48.536251,-0.631350,-0.042883,0.258152,Walking_211805014
-57.505001,-2.073750,-48.186249,-0.622078,-0.037149,0.248758,Walking_211805014
-61.363750,-2.528750,-47.381248,-0.615490,-0.032208,0.240035,Walking_211805014
-64.653748,-3.613750,-46.436249,-0.602680,-0.027084,0.231068,Walking_211805014
-67.882500,-4.733750,-45.360001,-0.597800,-0.024400,0.222223,Walking_211805014
-70.358749,-6.107500,-44.327499,-0.599203,-0.026047,0.213256,Walking_211805014
-72.196251,-7.332500,-42.411251,-0.600179,-0.032208,0.204289,Walking_211805014
-73.106247,-8.408750,-41.597500,-0.606523,-0.037820,0.192577,Walking_211805014
-73.316254,-9.861250,-40.669998,-0.613721,-0.043798,0.177937,Walking_211805014
-72.904999,-11.121250,-40.153751,-0.616710,-0.053192,0.163480,Walking_211805014
-71.846252,-11.523750,-39.445000,-0.622261,-0.060390,0.156831,Walking_211805014
-68.521248,-12.293750,-39.138748,-0.623725,-0.074115,0.150914,Walking_211805014
-65.327499,-12.880000,-38.963749,-0.630862,-0.078812,0.144509,Walking_211805014
-61.372501,-13.370000,-39.156250,-0.642635,-0.079544,0.140056,Walking_211805014
-57.645000,-14.000000,-39.287498,-0.661423,-0.078629,0.137860,Walking_211805014
