gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,Label
-3.246250,-5.976250,0.953750,0.183122,-0.019032,1.020225,Sitting_211805108
-3.596250,-5.608750,0.306250,0.186782,-0.018117,1.014613,Sitting_211805108
-3.176250,-4.515000,0.385000,0.186721,-0.019581,1.012783,Sitting_211805108
-2.380000,-3.333750,0.183750,0.179279,-0.018727,1.009489,Sitting_211805108
-1.671250,-1.863750,0.691250,0.200263,-0.024461,1.020164,Sitting_211805108
-1.426250,-2.878750,1.251250,0.197945,-0.029829,1.014186,Sitting_211805108
-0.980000,-2.730000,1.470000,0.191662,-0.025925,1.014491,Sitting_211805108
-0.630000,-2.091250,1.417500,0.189893,-0.023302,1.018883,Sitting_211805108
-0.560000,-1.907500,1.452500,0.187270,-0.022936,1.020774,Sitting_211805108
-0.490000,-2.257500,1.513750,0.185379,-0.024583,1.022848,Sitting_211805108
-0.717500,-2.730000,1.277500,0.185440,-0.021838,1.020713,Sitting_211805108
-0.945000,-3.185000,1.181250,0.184525,-0.022082,1.020164,Sitting_211805108
-1.050000,-3.333750,0.892500,0.184647,-0.020130,1.019798,Sitting_211805108
-1.356250,-3.237500,0.490000,0.183793,-0.017324,1.020713,Sitting_211805108
-1.793750,-3.211250,0.148750,0.187392,-0.016592,1.021262,Sitting_211805108
-1.863750,-3.351250,0.463750,0.189954,-0.019093,1.014430,Sitting_211805108
-1.706250,-3.150000,0.673750,0.192516,-0.020191,1.011929,Sitting_211805108
-1.260000,-3.080000,1.137500,0.190869,-0.019520,1.010404,Sitting_211805108
-0.647500,-2.730000,1.041250,0.189954,-0.018361,1.014186,Sitting_211805108
-0.358750,-2.537500,1.260000,0.187575,-0.017812,1.013881,Sitting_211805108
-0.043750,-2.397500,1.513750,0.181902,-0.013847,1.014918,Sitting_211805108
0.087500,-2.572500,1.583750,0.181841,-0.014335,1.017602,Sitting_211805108
0.008750,-2.703750,1.820000,0.180133,-0.012444,1.021201,Sitting_211805108
-0.122500,-3.237500,1.557500,0.180804,-0.013237,1.022970,Sitting_211805108
-0.420000,-3.675000,1.732500,0.180621,-0.012627,1.021567,Sitting_211805108
-0.778750,-4.033750,1.575000,0.181231,-0.011590,1.022726,Sitting_211805108
-0.831250,-4.427500,1.645000,0.181170,-0.010065,1.022970,Sitting_211805108
-1.050000,-4.506250,1.373750,0.178974,-0.009333,1.018151,Sitting_211805108
-1.023750,-4.593750,1.513750,0.180621,-0.009638,1.016260,Sitting_211805108
-0.892500,-4.427500,1.566250,0.181902,-0.011773,1.014857,Sitting_211805108
-0.603750,-4.217500,1.680000,0.183549,-0.010553,1.013210,Sitting_211805108
-0.323750,-3.911250,1.653750,0.182817,-0.013847,1.015284,Sitting_211805108
-0.148750,-3.613750,1.496250,0.183732,-0.012200,1.014125,Sitting_211805108
-0.087500,-3.115000,1.610000,0.181170,-0.013298,1.012600,Sitting_211805108
0.183750,-2.870000,1.365000,0.180743,-0.012261,1.015345,Sitting_211805108
0.297500,-2.546250,1.268750,0.181658,-0.012322,1.015955,Sitting_211805108
0.280000,-2.371250,1.426250,0.177266,-0.014335,1.016748,Sitting_211805108
0.358750,-2.117500,1.365000,0.174948,-0.013725,1.015711,Sitting_211805108
0.411250,-1.881250,1.015000,0.173545,-0.013542,1.014857,Sitting_211805108
0.560000,-1.662500,1.085000,0.171471,-0.030500,1.015528,Sitting_211805108
0.883750,-1.347500,0.840000,0.173118,-0.016592,1.016626,Sitting_211805108
1.137500,-1.286250,1.076250,0.173301,-0.016104,1.018090,Sitting_211805108
1.347500,-1.146250,0.927500,0.173850,-0.016592,1.017602,Sitting_211805108
1.496250,-1.470000,1.067500,0.174155,-0.018544,1.018029,Sitting_211805108
1.260000,-1.417500,0.953750,0.175009,-0.018544,1.015345,Sitting_211805108
1.277500,-1.312500,0.892500,0.174399,-0.019886,1.016565,Sitting_211805108
1.540000,-1.172500,0.525000,0.174338,-0.019581,1.016870,Sitting_211805108
1.487500,-1.557500,0.516250,0.174704,-0.018544,1.018456,Sitting_211805108
1.286250,-2.021250,0.525000,0.173728,-0.016287,1.018700,Sitting_211805108
1.286250,-2.178750,0.402500,0.174399,-0.018483,1.018944,Sitting_211805108
1.023750,-2.345000,0.595000,0.174338,-0.019825,1.018090,Sitting_211805108
0.813750,-2.642500,0.323750,0.175741,-0.020374,1.019005,Sitting_211805108
0.323750,-3.272500,0.507500,0.173667,-0.017324,1.019554,Sitting_211805108
0.043750,-3.622500,0.245000,0.174765,-0.016714,1.019432,Sitting_211805108
-0.280000,-4.138750,0.262500,0.175497,-0.017995,1.015589,Sitting_211805108
-0.385000,-4.305000,0.122500,0.179706,-0.017019,1.015223,Sitting_211805108
-0.385000,-4.068750,0.218750,0.181414,-0.019825,1.015589,Sitting_211805108
-0.297500,-3.631250,0.306250,0.183305,-0.022204,1.018273,Sitting_211805108
0.035000,-3.403750,0.446250,0.183183,-0.021472,1.018883,Sitting_211805108
0.148750,-3.167500,0.603750,0.184220,-0.020923,1.018273,Sitting_211805108
0.175000,-2.983750,0.533750,0.186294,-0.021655,1.020103,Sitting_211805108
0.402500,-2.572500,0.796250,0.187453,-0.024583,1.020164,Sitting_211805108
0.218750,-2.406250,0.743750,0.185867,-0.022997,1.019188,Sitting_211805108
0.122500,-2.336250,1.085000,0.201788,-0.021777,1.021689,Sitting_211805108
