gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,Label
0.918750,-3.762500,1.312500,-0.100528,-0.252784,-0.924028,Sitting_211805042
0.717500,-3.351250,1.225000,-0.096685,-0.249551,-0.921588,Sitting_211805042
-0.113750,-3.456250,1.120000,-0.097478,-0.247721,-0.924577,Sitting_211805042
-0.822500,-2.651250,1.041250,-0.096197,-0.246623,-0.929701,Sitting_211805042
-1.382500,-2.327500,0.953750,-0.095831,-0.246684,-0.934581,Sitting_211805042
-1.286250,-1.890000,0.621250,-0.090280,-0.247904,-0.935374,Sitting_211805042
-1.268750,-1.863750,0.717500,-0.085827,-0.248392,-0.939461,Sitting_211805042
-1.365000,-2.248750,0.848750,-0.086925,-0.246562,-0.940742,Sitting_211805042
-1.435000,-2.677500,1.050000,-0.086559,-0.248087,-0.943975,Sitting_211805042
-1.417500,-2.791250,1.102500,-0.088450,-0.246562,-0.947574,Sitting_211805042
-1.330000,-3.088750,1.198750,-0.089853,-0.243756,-0.948062,Sitting_211805042
-0.927500,-3.281250,1.373750,-0.088511,-0.242231,-0.944280,Sitting_211805042
-0.551250,-3.080000,1.426250,-0.089975,-0.239303,-0.939705,Sitting_211805042
0.078750,-3.543750,1.540000,-0.088450,-0.239669,-0.932629,Sitting_211805042
0.350000,-3.613750,1.575000,-0.090890,-0.239242,-0.929579,Sitting_211805042
0.288750,-3.771250,1.575000,-0.091378,-0.238510,-0.929701,Sitting_211805042
0.262500,-3.902500,1.645000,-0.092232,-0.235155,-0.930921,Sitting_211805042
0.026250,-3.710000,1.706250,-0.094428,-0.237412,-0.937753,Sitting_211805042
-0.253750,-3.587500,1.662500,-0.094001,-0.242719,-0.943853,Sitting_211805042
-0.236250,-3.307500,1.671250,-0.095038,-0.244305,-0.947391,Sitting_211805042
-0.140000,-3.718750,1.592500,-0.093635,-0.241377,-0.951234,Sitting_211805042
0.385000,-3.736250,1.391250,-0.094062,-0.240828,-0.948062,Sitting_211805042
0.822500,-4.226250,1.198750,-0.093208,-0.243573,-0.945073,Sitting_211805042
0.936250,-4.235000,1.312500,-0.091744,-0.242292,-0.941718,Sitting_211805042
0.805000,-4.348750,1.365000,-0.095343,-0.240462,-0.942328,Sitting_211805042
0.805000,-4.453750,1.338750,-0.096441,-0.240584,-0.939461,Sitting_211805042
0.901250,-4.287500,1.076250,-0.095831,-0.243939,-0.936655,Sitting_211805042
0.673750,-4.305000,1.076250,-0.094367,-0.242963,-0.936472,Sitting_211805042
0.822500,-4.445000,1.006250,-0.095709,-0.239547,-0.937021,Sitting_211805042
1.163750,-4.882500,0.910000,-0.098149,-0.236863,-0.939827,Sitting_211805042
1.540000,-4.453750,0.971250,-0.093757,-0.232837,-0.941108,Sitting_211805042
2.056250,-3.990000,1.041250,-0.090524,-0.229665,-0.938241,Sitting_211805042
2.861250,-3.272500,1.181250,-0.086864,-0.231312,-0.933544,Sitting_211805042
3.403750,-2.738750,1.338750,-0.086132,-0.239974,-0.924272,Sitting_211805042
3.543750,-2.677500,1.452500,-0.082838,-0.251503,-0.920124,Sitting_211805042
3.132500,-3.185000,1.566250,-0.079666,-0.257664,-0.922564,Sitting_211805042
2.336250,-3.447500,1.898750,-0.077348,-0.260775,-0.927871,Sitting_211805042
1.461250,-3.788750,2.362500,-0.082472,-0.264740,-0.934764,Sitting_211805042
0.306250,-3.885000,2.738750,-0.087413,-0.268888,-0.943731,Sitting_211805042
-0.490000,-3.675000,3.106250,-0.092598,-0.272426,-0.947818,Sitting_211805042
-0.665000,-4.016250,2.975000,-0.096929,-0.270718,-0.948245,Sitting_211805042
-0.813750,-4.235000,2.660000,-0.098759,-0.265594,-0.943975,Sitting_211805042
-1.058750,-4.287500,2.458750,-0.102175,-0.262605,-0.934886,Sitting_211805042
-1.505000,-3.832500,2.152500,-0.105164,-0.260287,-0.929396,Sitting_211805042
-4.366250,-3.430000,1.846250,-0.104798,-0.256261,-0.926895,Sitting_211805042
-2.712500,-3.045000,1.426250,-0.107177,-0.247965,-0.929213,Sitting_211805042
-2.493750,-2.905000,0.761250,-0.103578,-0.239303,-0.932019,Sitting_211805042
-2.257500,-2.502500,0.437500,-0.095892,-0.236436,-0.931165,Sitting_211805042
-1.846250,-2.458750,0.297500,-0.090829,-0.231129,-0.935313,Sitting_211805042
-1.671250,-2.668750,0.402500,-0.089548,-0.230458,-0.939217,Sitting_211805042
-0.945000,-2.826250,0.533750,-0.088755,-0.229726,-0.947513,Sitting_211805042
-0.280000,-2.870000,0.577500,-0.087718,-0.226249,-0.951112,Sitting_211805042
0.525000,-3.185000,0.831250,-0.087596,-0.225883,-0.950746,Sitting_211805042
1.216250,-3.552500,1.041250,-0.088877,-0.232837,-0.947818,Sitting_211805042
1.706250,-3.648750,1.338750,-0.088877,-0.237351,-0.945866,Sitting_211805042
4.348750,-4.235000,1.548750,-0.092903,-0.240828,-0.942755,Sitting_211805042
2.616250,-4.418750,1.583750,-0.095038,-0.241804,-0.940315,Sitting_211805042
2.476250,-4.523750,1.557500,-0.098027,-0.242353,-0.937570,Sitting_211805042
2.283750,-3.946250,1.671250,-0.098576,-0.245647,-0.934642,Sitting_211805042
2.143750,-3.526250,1.785000,-0.099552,-0.247111,-0.933300,Sitting_211805042
2.003750,-3.298750,1.793750,-0.100650,-0.246379,-0.933056,Sitting_211805042
1.855000,-3.106250,1.662500,-0.099979,-0.248514,-0.931897,Sitting_211805042
1.907500,-2.966250,1.653750,-0.100650,-0.253638,-0.930921,Sitting_211805042
1.487500,-2.808750,1.583750,-0.100955,-0.259433,-0.931836,Sitting_211805042
0.927500,-2.616250,1.478750,-0.103456,-0.264191,-0.933117,Sitting_211805042
0.420000,-2.712500,1.076250,-0.105652,-0.266814,-0.935801,Sitting_211805042
-0.603750,-2.730000,0.857500,-0.104005,-0.263764,-0.939217,Sitting_211805042
-1.041250,-2.826250,0.437500,-0.100406,-0.260165,-0.940437,Sitting_211805042
-1.452500,-2.397500,0.463750,-0.097905,-0.257725,-0.938241,Sitting_211805042
-1.487500,-2.616250,0.656250,-0.090463,-0.254309,-0.935130,Sitting_211805042
-1.487500,-3.097500,0.603750,-0.092720,-0.252479,-0.932934,Sitting_211805042
-1.373750,-3.561250,0.805000,-0.091988,-0.248453,-0.931165,Sitting_211805042
-1.338750,-3.972500,0.980000,-0.093513,-0.246684,-0.929396,Sitting_211805042
-1.400000,-4.173750,0.778750,-0.095953,-0.247599,-0.930738,Sitting_211805042
-1.540000,-4.033750,0.525000,-0.098698,-0.248758,-0.933422,Sitting_211805042
-1.706250,-3.631250,0.271250,-0.099552,-0.245281,-0.940193,Sitting_211805042
-1.968750,-3.106250,-0.061250,-0.098515,-0.240340,-0.942633,Sitting_211805042
-1.575000,-2.178750,-0.472500,-0.093574,-0.234484,-0.940925,Sitting_211805042
-0.796250,-1.426250,-0.437500,-0.085400,-0.234972,-0.935984,Sitting_211805042
0.183750,-0.463750,-0.586250,-0.073810,-0.235826,-0.928542,Sitting_211805042
1.023750,-0.953750,-0.262500,-0.066612,-0.234850,-0.924821,Sitting_211805042
1.093750,-1.662500,0.358750,-0.063013,-0.236863,-0.925431,Sitting_211805042
1.163750,-2.213750,1.146250,-0.061000,-0.241682,-0.931836,Sitting_211805042
1.093750,-2.712500,2.152500,-0.064721,-0.245647,-0.938119,Sitting_211805042
1.111250,-3.255000,2.607500,-0.068381,-0.250893,-0.941352,Sitting_211805042
1.338750,-4.103750,3.027500,-0.074359,-0.257908,-0.947940,Sitting_211805042
1.207500,-4.795000,3.150000,-0.081679,-0.259128,-0.950685,Sitting_211805042
1.058750,-4.725000,3.386250,-0.085888,-0.260470,-0.946903,Sitting_211805042
0.621250,-5.031250,3.298750,-0.095526,-0.260653,-0.943121,Sitting_211805042
0.236250,-4.961250,3.281250,-0.102846,-0.260592,-0.940864,Sitting_211805042
-0.131250,-4.838750,2.800000,-0.112423,-0.258762,-0.934276,Sitting_211805042
-0.481250,-4.917500,2.388750,-0.117242,-0.254248,-0.933788,Sitting_211805042
-1.137500,-4.331250,1.706250,-0.119438,-0.253333,-0.930738,Sitting_211805042
-1.601250,-4.173750,0.577500,-0.121085,-0.250283,-0.930677,Sitting_211805042
-2.283750,-3.456250,-0.008750,-0.118828,-0.243939,-0.933361,Sitting_211805042
-2.388750,-2.625000,-0.542500,-0.114741,-0.235704,-0.940437,Sitting_211805042
-2.222500,-1.032500,-0.997500,-0.108458,-0.230519,-0.936899,Sitting_211805042
-1.715000,-0.603750,-1.225000,-0.098271,-0.229848,-0.935252,Sitting_211805042
-1.225000,-0.953750,-1.146250,-0.088145,-0.230275,-0.936350,Sitting_211805042
-0.726250,-0.892500,-0.551250,-0.082838,-0.232715,-0.935557,Sitting_211805042
-0.682500,-1.767500,-0.157500,-0.078446,-0.235826,-0.940132,Sitting_211805042
-0.315000,-1.995000,0.533750,-0.074298,-0.239303,-0.944280,Sitting_211805042
-0.061250,-2.668750,1.093750,-0.073749,-0.242719,-0.945744,Sitting_211805042
0.052500,-3.316250,1.601250,-0.078629,-0.246196,-0.946720,Sitting_211805042
0.245000,-3.762500,2.196250,-0.083753,-0.248758,-0.944280,Sitting_211805042
0.481250,-4.296250,2.292500,-0.087230,-0.250344,-0.942511,Sitting_211805042
0.717500,-4.768750,2.353750,-0.091866,-0.253333,-0.937692,Sitting_211805042
0.752500,-4.900000,2.406250,-0.097478,-0.253333,-0.932873,Sitting_211805042
0.901250,-5.136250,2.126250,-0.100101,-0.252052,-0.929457,Sitting_211805042
0.595000,-5.468750,1.723750,-0.099674,-0.249429,-0.932263,Sitting_211805042
0.183750,-4.873750,1.505000,-0.102053,-0.247904,-0.933178,Sitting_211805042
-0.341250,-4.410000,1.093750,-0.102419,-0.247904,-0.937082,Sitting_211805042
-0.682500,-3.946250,0.682500,-0.103212,-0.246379,-0.942023,Sitting_211805042
-0.752500,-3.403750,0.358750,-0.100833,-0.243024,-0.945439,Sitting_211805042
-0.463750,-2.905000,-0.113750,-0.096197,-0.239364,-0.944158,Sitting_211805042
-0.035000,-2.380000,-0.376250,-0.091805,-0.239547,-0.940010,Sitting_211805042
0.402500,-2.380000,-0.437500,-0.083143,-0.235277,-0.936960,Sitting_211805042
0.831250,-2.660000,0.000000,-0.080642,-0.228567,-0.938485,Sitting_211805042
1.172500,-2.607500,0.455000,-0.078202,-0.229604,-0.938180,Sitting_211805042
1.321250,-2.423750,0.857500,-0.077531,-0.232044,-0.936106,Sitting_211805042
1.435000,-2.502500,1.006250,-0.077470,-0.239486,-0.937082,Sitting_211805042
1.688750,-2.721250,1.365000,-0.079300,-0.246196,-0.933056,Sitting_211805042
1.872500,-3.465000,1.531250,-0.081923,-0.252845,-0.933971,Sitting_211805042
1.767500,-3.885000,1.706250,-0.087596,-0.257481,-0.934886,Sitting_211805042
