gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,Label
1.076250,-3.631250,2.222500,-0.252479,-0.192333,0.991311,Sitting_211805025
0.367500,-3.815000,2.021250,-0.252479,-0.191723,0.992836,Sitting_211805025
-0.210000,-3.736250,1.688750,-0.254004,-0.192333,0.990701,Sitting_211805025
-0.612500,-3.981250,1.408750,-0.254431,-0.192577,0.987468,Sitting_211805025
-0.656250,-3.858750,1.277500,-0.250649,-0.189100,0.985943,Sitting_211805025
-0.980000,-3.596250,1.216250,-0.249856,-0.193980,0.986797,Sitting_211805025
-1.321250,-3.736250,1.207500,-0.251137,-0.196115,0.982649,Sitting_211805025
-1.461250,-3.692500,1.207500,-0.247782,-0.200202,0.983198,Sitting_211805025
-1.461250,-3.578750,1.295000,-0.247843,-0.200141,0.982344,Sitting_211805025
-1.478750,-3.675000,1.356250,-0.250405,-0.200080,0.983686,Sitting_211805025
-1.478750,-3.438750,1.496250,-0.253333,-0.199531,0.981551,Sitting_211805025
-1.207500,-3.517500,1.575000,-0.257115,-0.198860,0.981490,Sitting_211805025
-0.778750,-3.430000,1.540000,-0.256566,-0.198982,0.982100,Sitting_211805025
-0.411250,-3.333750,1.277500,-0.258945,-0.201056,0.983747,Sitting_211805025
-0.157500,-3.500000,1.128750,-0.259921,-0.199775,0.985089,Sitting_211805025
0.113750,-3.631250,1.085000,-0.257420,-0.203496,0.983747,Sitting_211805025
0.183750,-3.657500,1.015000,-0.255407,-0.202093,0.983381,Sitting_211805025
0.376250,-3.675000,1.207500,-0.255041,-0.203435,0.980941,Sitting_211805025
0.507500,-3.517500,1.338750,-0.254309,-0.202459,0.978562,Sitting_211805025
0.927500,-3.482500,1.697500,-0.255834,-0.202886,0.983808,Sitting_211805025
0.831250,-3.438750,2.030000,-0.254858,-0.198799,0.981917,Sitting_211805025
0.665000,-3.587500,2.117500,-0.261385,-0.197945,0.980636,Sitting_211805025
0.498750,-3.587500,1.942500,-0.263032,-0.197884,0.980880,Sitting_211805025
0.323750,-3.692500,1.881250,-0.263581,-0.196115,0.979904,Sitting_211805025
0.113750,-3.876250,1.365000,-0.264252,-0.197945,0.983625,Sitting_211805025
-0.175000,-3.998750,1.111250,-0.260348,-0.202886,0.984540,Sitting_211805025
-0.376250,-3.683750,0.945000,-0.256383,-0.205204,0.986553,Sitting_211805025
-0.595000,-3.841250,1.058750,-0.253272,-0.206485,0.982832,Sitting_211805025
-0.866250,-3.797500,1.330000,-0.254980,-0.206790,0.984052,Sitting_211805025
-0.840000,-3.946250,1.408750,-0.258457,-0.202947,0.981124,Sitting_211805025
-0.560000,-3.937500,1.225000,-0.257969,-0.201910,0.981246,Sitting_211805025
-0.341250,-3.955000,1.163750,-0.259067,-0.202215,0.983137,Sitting_211805025
-0.035000,-4.033750,1.067500,-0.258091,-0.203008,0.981429,Sitting_211805025
